,name,company,year,Price,kms_driven,fuel_type
64,Volkswagen Polo Highline,Volkswagen,2014,922950.0,60000,Petrol
65,Skoda Fabia Classic,Skoda,2010,533260.0,60000,Petrol
66,Maruti Suzuki Stingray,Maruti,2015,922950.0,30000,Petrol
67,Chevrolet Spark LS,Chevrolet,2010,322300.0,41000,Petrol
68,Renault Duster 110PS,Renault,2012,1467930.0,35000,Diesel
69,Honda City,Honda,2015,1315567.07,54000,Petrol
70,Mini Cooper S,Mini,2013,5540955.23,13000,Petrol
71,Datsun Redi GO,Datsun,2017,688550.0,16000,Petrol
72,Skoda Fabia 1.2L,Skoda,2011,467335.0,38200,Diesel
73,Honda Amaze,Honda,2015,1010847.0700000001,22000,Petrol
74,Honda Amaze,Honda,2015,1010847.0700000001,22000,Petrol
75,Renault Duster,Renault,2014,1318497.07,50000,Diesel
76,Mini Cooper S,Mini,2013,5540955.23,13500,Petrol
77,Mahindra Scorpio S4,Mahindra,2015,2534450.0,30000,Diesel
78,Mahindra Scorpio VLX,Mahindra,2014,2048070.0,50000,Diesel
79,Mahindra Quanto C8,Mahindra,2013,1098750.0,20000,Diesel
80,Ford EcoSport,Ford,2017,1435697.07,39000,Petrol
81,Honda Brio,Honda,2012,659247.0700000001,30000,Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,3516000.0,3600,Diesel
83,Hyundai i20 Magna,Hyundai,2009,571350.0,32000,Petrol
84,Toyota Corolla Altis,Toyota,2010,1028430.0,38000,Diesel
85,Hyundai Verna Transform,Hyundai,2008,468800.0,45000,Petrol
86,Toyota Corolla Altis,Toyota,2009,703200.0,35000,Petrol
87,Honda City 1.5,Honda,2005,263700.0,50000,Petrol
88,Hyundai Elite i20,Hyundai,2014,1215950.0,32000,Petrol
89,Skoda Fabia 1.2L,Skoda,2011,454150.0,45863,Diesel
90,BMW 3 Series,BMW,2011,1758000.0,60500,Petrol
91,Maruti Suzuki A,Maruti,2011,555235.0,12500,Petrol
92,Toyota Etios GD,Toyota,2013,1025500.0,60000,Diesel
93,Ford Figo Diesel,Ford,2012,615300.0,35000,Diesel
94,Maruti Suzuki Swift,Maruti,2014,1142700.0,35000,Petrol
95,Chevrolet Beat LT,Chevrolet,2012,395550.0,45000,Diesel
96,BMW 7 Series,BMW,2009,4688000.0,35000,Petrol
97,Mahindra XUV500 W8,Mahindra,2013,2053930.0,38000,Diesel
98,Hyundai i10 Magna,Hyundai,2014,776450.0,18000,Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,1538250.0,35000,Diesel
100,Maruti Suzuki Swift,Maruti,2013,1089960.0,13349,Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,1860550.0,29000,Petrol
102,Ford EcoSport Titanium,Ford,2014,1611500.0,44000,Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,1684750.0,29000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,1421050.0,42000,Diesel
105,Maruti Suzuki Alto,Maruti,2012,454150.0,14000,Petrol
106,Hyundai Grand i10,Hyundai,2014,1010850.0,49000,Diesel
107,Honda Amaze 1.2,Honda,2014,952250.0,42000,Petrol
108,Hyundai i20 Asta,Hyundai,2012,965435.0,36200,Diesel
109,Ford Figo Diesel,Ford,2014,571350.0,50000,Diesel
110,Maruti Suzuki Eeco,Maruti,2015,735755.2300000001,55000,Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,1670097.07,45000,Petrol
112,Maruti Suzuki Esteem,Maruti,2007,205097.07,51000,Petrol
113,Maruti Suzuki Ritz,Maruti,2014,878997.0700000001,19000,Petrol
114,Maruti Suzuki Dzire,Maruti,2009,644600.0,46000,Petrol
115,Maruti Suzuki Ritz,Maruti,2013,1171997.07,33000,Diesel
116,Maruti Suzuki Swift,Maruti,2013,1089960.0,13349,Petrol
117,Maruti Suzuki Dzire,Maruti,2015,1318500.0,104000,Diesel
118,Toyota Etios Liva,Toyota,2014,791100.0,55000,Petrol
119,Hyundai i20 Sportz,Hyundai,2011,1025500.0,33333,Diesel
120,Chevrolet Spark,Chevrolet,2012,464112.0,33600,Petrol
121,Maruti Suzuki Alto,Maruti,2017,1025500.0,5600,Petrol
122,Nissan Micra XV,Nissan,2011,524470.0,41000,Petrol
123,Maruti Suzuki Swift,Maruti,2007,366250.0,70000,Petrol
124,Maruti Suzuki Alto,Maruti,2018,586000.0,7500,Petrol
125,Honda Amaze 1.5,Honda,2013,876070.0,45000,Diesel
126,Maruti Suzuki Alto,Maruti,2015,644600.0,38000,Petrol
127,Chevrolet Beat,Chevrolet,2015,439500.0,30000,Petrol
128,Honda City 1.5,Honda,2010,835050.0,35000,Petrol
129,Ford EcoSport Trend,Ford,2016,2431900.0,24330,Diesel
130,Hyundai i20 Asta,Hyundai,2009,615300.0,65480,Petrol
131,Maruti Suzuki Swift,Maruti,2013,996200.0,41000,Petrol
132,Tata Indica V2,Tata,2006,263700.0,20000,Petrol
133,Hindustan Motors Ambassador,Hindustan,2000,205100.0,200000,Diesel
134,Toyota Corolla Altis,Toyota,2010,849697.0700000001,70000,Petrol
135,Toyota Corolla Altis,Toyota,2012,1025497.0700000001,59000,Petrol
136,Toyota Innova 2.5,Toyota,2012,2490497.0700000003,99000,Diesel
137,Volkswagen Jetta Highline,Volkswagen,2014,2197497.0700000003,46000,Diesel
138,Volkswagen Polo Comfortline,Volkswagen,2015,1171997.07,2800,Petrol
139,Volkswagen Polo,Volkswagen,2014,805747.0700000001,32000,Petrol
140,Mahindra Scorpio,Mahindra,2015,2886047.0700000003,22000,Diesel
141,Renault Duster,Renault,2014,1318497.07,50000,Diesel
142,Honda Amaze,Honda,2015,1010847.0700000001,22000,Petrol
143,Nissan Sunny,Nissan,2012,659247.0700000001,45000,Petrol
144,Hyundai Elite i20,Hyundai,2018,1757997.07,21000,Petrol
145,Renault Kwid,Renault,2016,717847.0700000001,11000,Petrol
146,Renault Duster,Renault,2013,1171997.07,41000,Diesel
147,Ford EcoSport,Ford,2017,1435697.07,39000,Petrol
148,Renault Duster,Renault,2014,1391747.07,50000,Diesel
149,Mahindra Scorpio VLX,Mahindra,2011,1464997.07,66000,Diesel
150,Maruti Suzuki Alto,Maruti,2018,908300.0,3000,Petrol
151,Chevrolet Spark LT,Chevrolet,2010,249050.0,45000,Petrol
152,Datsun Redi GO,Datsun,2016,717850.0,7000,Petrol
153,Maruti Suzuki Swift,Maruti,2010,555235.0,38500,Diesel
154,Fiat Punto Emotion,Fiat,2012,496635.0,37200,Diesel
155,Maruti Suzuki Swift,Maruti,2010,467335.0,43200,Diesel
156,Toyota Etios GD,Toyota,2013,805750.0,24800,Petrol
157,Hyundai i20 Sportz,Hyundai,2014,1084100.0,60000,Diesel
158,Hyundai i10 Sportz,Hyundai,2010,492240.0,45872,Petrol
159,Chevrolet Beat LT,Chevrolet,2011,439500.0,40000,Diesel
160,Chevrolet Beat LS,Chevrolet,2011,424850.0,45000,Diesel
161,Chevrolet Beat LT,Chevrolet,2012,288605.0,38000,Diesel
162,Mahindra Scorpio VLX,Mahindra,2014,2048070.0,50000,Diesel
163,Tata Indigo CS,Tata,2011,249050.0,11400,Diesel
164,Toyota Corolla Altis,Toyota,2015,1684750.0,42000,Petrol
165,Honda City 1.5,Honda,2014,1608570.0,39000,Petrol
166,Maruti Suzuki Swift,Maruti,2011,612370.0,47000,Diesel
167,Hyundai Eon Era,Hyundai,2013,542050.0,27000,Petrol
168,Mahindra Scorpio S10,Mahindra,2015,2637000.0,97200,Diesel
169,Mahindra XUV500,Mahindra,2014,2050997.07,52000,Diesel
170,Honda Brio,Honda,2012,659247.0700000001,30000,Petrol
171,Ford Fiesta,Ford,2011,805747.0700000001,55000,Diesel
172,Honda Amaze,Honda,2013,835047.0700000001,46000,Diesel
173,Honda City,Honda,2015,1757997.07,30000,Diesel
174,Maruti Suzuki Wagon,Maruti,2012,585997.0700000001,44000,Petrol
175,Honda City,Honda,2014,1596847.07,45000,Diesel
176,Hyundai i20,Hyundai,2009,583070.0,31000,Petrol
177,Tata Indigo eCS,Tata,2016,937600.0,175430,Diesel
178,Hyundai Fluidic Verna,Hyundai,2015,1582200.0,38000,Diesel
179,Mahindra Quanto C8,Mahindra,2013,996200.0,37000,Diesel
180,Fiat Petra ELX,Fiat,2008,219750.0,65000,Petrol
181,Skoda Fabia 1.2L,Skoda,2011,467335.0,38200,Diesel
182,Mini Cooper S,Mini,2013,5540955.23,13000,Petrol
183,Hyundai Santro Xing,Hyundai,2005,143570.0,7500,Petrol
184,Maruti Suzuki Ciaz,Maruti,2016,2051000.0,3350,Petrol
185,Maruti Suzuki Zen,Maruti,2000,161150.0,60000,Petrol
186,Honda City,Honda,2015,1315567.07,54000,Petrol
187,Hyundai Creta 1.6,Hyundai,2017,2622350.0,32000,Petrol
188,Mahindra Scorpio SLX,Mahindra,2007,1040150.0,75000,Diesel
189,Mahindra Scorpio SLE,Mahindra,2012,1655450.0,62000,Diesel
190,Toyota Innova 2.5,Toyota,2006,1069450.0,73000,Diesel
191,Maruti Suzuki Alto,Maruti,2011,424850.0,41000,Petrol
192,Maruti Suzuki Wagon,Maruti,2011,615300.0,35000,Petrol
193,Tata Nano Cx,Tata,2013,117200.0,2200,Petrol
194,Maruti Suzuki Alto,Maruti,2013,366250.0,39000,Petrol
195,Maruti Suzuki Wagon,Maruti,2009,395550.0,45000,Petrol
196,Maruti Suzuki Swift,Maruti,2006,395550.0,45000,Petrol
197,Tata Sumo Victa,Tata,2012,835050.0,65000,Diesel
198,Maruti Suzuki Wagon,Maruti,2010,424850.0,54870,Petrol
199,Maruti Suzuki Alto,Maruti,2010,395550.0,34580,Petrol
200,Volkswagen Passat Diesel,Volkswagen,2009,1318500.0,97000,Diesel
201,Renault Scala RxL,Renault,2015,1098750.0,25000,Diesel
202,Mahindra Quanto C8,Mahindra,2013,1098750.0,20000,Diesel
203,Hyundai Grand i10,Hyundai,2014,1069450.0,20000,Petrol
204,Hyundai i20 Active,Hyundai,2015,1465000.0,18000,Petrol
205,Mahindra Xylo E4,Mahindra,2012,1172000.0,35000,Diesel
206,Mahindra Jeep MM,Mahindra,2019,1142700.0,60,Diesel
207,Renault Duster 110PS,Renault,2012,1467930.0,35000,Diesel
208,Mahindra Bolero SLE,Mahindra,2013,966900.0,80200,Diesel
209,Force Motors Force,Force,2015,1699400.0,3200,Diesel
210,Maruti Suzuki SX4,Maruti,2012,776450.0,46000,Diesel
211,Mahindra Jeep CL550,Mahindra,2019,1110470.0,0,Diesel
212,Maruti Suzuki Alto,Maruti,2015,641670.0,5000,Petrol
213,Mahindra Jeep CL550,Mahindra,2018,1128050.0,588,Diesel
214,Toyota Etios,Toyota,2011,805750.0,36000,Diesel
215,Volkswagen Polo,Volkswagen,2015,966900.0,38000,Diesel
216,Honda City ZX,Honda,2008,322300.0,45000,Petrol
217,Maruti Suzuki Wagon,Maruti,2006,234400.0,71200,Petrol
218,Honda City VX,Honda,2016,1520670.0,52000,Diesel
219,Mahindra Thar CRDe,Mahindra,2016,2138900.0,29000,Diesel
220,Mitsubishi Pajero Sport,Mitsubishi,2015,4321750.0,47000,Diesel
221,Audi A4 1.8,Audi,2009,2048070.0,47000,Petrol
222,Mercedes Benz GLA,Mercedes,2015,5860000.0,20000,Diesel
223,Land Rover Freelander,Land,2015,6153000.0,30000,Diesel
224,Renault Kwid RXT,Renault,2017,996200.0,5000,Petrol
225,Tata Aria Pleasure,Tata,2014,1142700.0,35000,Diesel
226,Mercedes Benz B,Mercedes,2014,4102000.0,31000,Petrol
227,Datsun GO T,Datsun,2016,717850.0,7000,Petrol
228,Tata Indigo eCS,Tata,2016,937600.0,175430,Diesel
229,Tata Indigo eCS,Tata,2016,937600.0,175400,Diesel
230,Honda Jazz VX,Honda,2016,1318500.0,41000,Petrol
231,Honda Amaze 1.2,Honda,2014,911230.0,33000,Petrol
232,Honda Amaze,Honda,2013,835047.0700000001,46000,Diesel
233,Honda City,Honda,2012,1171997.07,45000,Petrol
234,Honda City,Honda,2015,1757997.07,39000,Diesel
235,Honda Amaze,Honda,2015,1010847.0700000001,22000,Petrol
236,Audi A4 1.8,Audi,2009,2048070.0,47000,Petrol
237,Force Motors Force,Force,2015,1699400.0,3200,Diesel
238,Mahindra Scorpio S4,Mahindra,2015,2505150.0,30000,Diesel
239,Hyundai i20 Active,Hyundai,2015,1567550.0,37000,Diesel
240,Mini Cooper S,Mini,2013,5540955.23,13000,Petrol
241,Maruti Suzuki Ciaz,Maruti,2017,2048070.0,14000,Petrol
242,Chevrolet Tavera Neo,Chevrolet,2013,1098750.0,55000,Diesel
243,Honda Amaze,Honda,2013,835047.0700000001,46000,Diesel
244,Hyundai Eon Sportz,Hyundai,2012,521540.0,30000,Petrol
245,Tata Sumo Gold,Tata,2013,879000.0,50000,Diesel
246,Maruti Suzuki Wagon,Maruti,2003,263700.0,45000,Petrol
247,Maruti Suzuki Esteem,Maruti,2006,278350.0,45000,Petrol
248,Maruti Suzuki Eeco,Maruti,2015,747150.0,9300,Petrol
249,Chevrolet Enjoy 1.4,Chevrolet,2013,717850.0,55000,Diesel
250,Hyundai i20 Asta,Hyundai,2012,965435.0,36200,Diesel
251,Ford Figo Diesel,Ford,2014,571350.0,50000,Diesel
252,Maruti Suzuki Eeco,Maruti,2015,735755.2300000001,55000,Petrol
253,Maruti Suzuki Ertiga,Maruti,2014,1670097.07,45000,Petrol
254,Maruti Suzuki Esteem,Maruti,2007,205097.07,51000,Petrol
255,Maruti Suzuki Ritz,Maruti,2014,878997.0700000001,19000,Petrol
256,Maruti Suzuki Dzire,Maruti,2009,644600.0,46000,Petrol
257,Maruti Suzuki Ritz,Maruti,2013,1171997.07,33000,Diesel
258,Maruti Suzuki SX4,Maruti,2010,732497.0700000001,36000,Petrol
259,Maruti Suzuki Wagon,Maruti,2015,849697.0700000001,22000,Petrol
260,Mini Cooper S,Mini,2013,5540955.23,13500,Petrol
261,Nissan Terrano XL,Nissan,2015,1464997.07,60000,Diesel
262,Renault Duster 85,Renault,2013,1435697.07,27000,Diesel
263,Renault Duster 85,Renault,2014,1435697.07,59000,Diesel
264,Renault Duster 85,Renault,2015,1611497.07,19000,Diesel
265,Maruti Suzuki Dzire,Maruti,2013,1113400.0,30000,Petrol
266,Renault Kwid RXT,Renault,2018,952250.0,15000,Petrol
267,Maruti Suzuki Maruti,Maruti,2003,167010.0,56758,Petrol
268,Renault Kwid 1.0,Renault,2018,1025497.0700000001,10000,Petrol
269,Renault Lodgy 85,Renault,2018,2021697.07,20000,Diesel
270,Renault Scala RxL,Renault,2014,1025497.0700000001,49000,Diesel
271,Hyundai Grand i10,Hyundai,2014,1201300.0,41000,Petrol
272,Maruti Suzuki Swift,Maruti,2011,659250.0,45000,Petrol
273,Chevrolet Beat LS,Chevrolet,2010,351600.0,43000,Petrol
274,Tata Indigo eCS,Tata,2016,937600.0,175430,Diesel
275,Hyundai Santro Xing,Hyundai,2000,172870.0,56450,Petrol
276,Hyundai Fluidic Verna,Hyundai,2015,1582200.0,38000,Diesel
277,Chevrolet Beat LS,Chevrolet,2010,234400.0,56000,Petrol
278,Mahindra Quanto C8,Mahindra,2013,996200.0,37000,Diesel
279,Fiat Petra ELX,Fiat,2008,219750.0,65000,Petrol
280,Chevrolet Beat LS,Chevrolet,2015,644600.0,32700,Petrol
281,Skoda Fabia 1.2L,Skoda,2011,467335.0,38200,Diesel
282,Ford EcoSport Titanium,Ford,2016,1755070.0,30000,Diesel
283,Hyundai Accent GLX,Hyundai,2006,234400.0,56000,Petrol
284,Mahindra TUV300 T4,Mahindra,2016,1977750.0,9000,Diesel
285,Mini Cooper S,Mini,2013,5540955.23,13000,Petrol
286,Mini Cooper S,Mini,2013,5540955.23,13000,Petrol
287,Tata Indica V2,Tata,2008,439500.0,11000,Petrol
288,Mini Cooper S,Mini,2013,5540955.23,13000,Petrol
289,Tata Indigo CS,Tata,2009,212425.0,46000,Diesel
290,Maruti Suzuki Swift,Maruti,2019,1787300.0,73,Petrol
291,Mahindra Scorpio VLX,Mahindra,2004,673900.0,160000,Diesel
292,Honda Accord,Honda,2009,512750.0,58559,Petrol
293,Mahindra Scorpio S4,Mahindra,2015,2505150.0,30000,Diesel
294,Chevrolet Tavera Neo,Chevrolet,2013,1098750.0,55000,Diesel
295,Ford EcoSport Titanium,Ford,2014,1523600.0,57000,Diesel
296,Maruti Suzuki Ertiga,Maruti,2015,1538247.07,50000,Diesel
297,Honda Amaze,Honda,2014,878997.0700000001,37000,Petrol
298,Maruti Suzuki Dzire,Maruti,2012,878997.0700000001,40000,Petrol
299,Honda City,Honda,2011,835047.0700000001,55000,Petrol
300,Mahindra Scorpio 2.6,Mahindra,2007,644600.0,170000,Diesel
301,Maruti Suzuki Dzire,Maruti,2014,1245247.07,55000,Diesel
302,Honda City,Honda,2015,1889847.07,39000,Petrol
303,Honda Mobilio,Honda,2014,1171997.07,44000,Petrol
304,Toyota Corolla Altis,Toyota,2009,585997.0700000001,65000,Petrol
305,Honda City,Honda,2014,1714047.07,39000,Petrol
306,Skoda Laura,Skoda,2012,1025497.0700000001,44000,Diesel
307,Renault Duster,Renault,2015,1318497.07,49000,Diesel
308,Maruti Suzuki Ertiga,Maruti,2018,2343997.0700000003,9000,Diesel
309,Maruti Suzuki Dzire,Maruti,2015,1303847.07,45000,Diesel
310,Mahindra XUV500,Mahindra,2014,1904497.07,47000,Diesel
311,Hyundai Verna Fluidic,Hyundai,2012,1303847.07,40000,Diesel
312,Maruti Suzuki Vitara,Maruti,2016,2021697.07,29000,Diesel
313,Maruti Suzuki Wagon,Maruti,2016,1010847.0700000001,15000,Petrol
314,Mahindra Scorpio,Mahindra,2015,2768847.0700000003,45000,Diesel
315,Honda Amaze,Honda,2014,805747.0700000001,35000,Petrol
316,Mahindra XUV500,Mahindra,2013,2021697.07,80000,Diesel
317,Mahindra Scorpio,Mahindra,2013,1684747.07,68000,Diesel
318,Skoda Laura,Skoda,2013,1098747.07,50000,Diesel
319,Volkswagen Polo,Volkswagen,2010,585997.0700000001,60000,Diesel
320,Hyundai Elite i20,Hyundai,2016,1611497.07,9000,Petrol
321,Tata Manza Aura,Tata,2012,380900.0,72000,Diesel
322,Chevrolet Sail UVA,Chevrolet,2013,615300.0,60000,Petrol
323,Renault Duster 110,Renault,2012,1467930.0,38000,Diesel
324,Hyundai Verna Fluidic,Hyundai,2013,1174930.0,45000,Diesel
325,Audi A4 2.0,Audi,2012,3955500.0,40000,Diesel
326,Hyundai Elantra SX,Hyundai,2013,1758000.0,20000,Petrol
327,Mahindra Scorpio VLX,Mahindra,2013,1787300.0,35000,Diesel
328,Mahindra KUV100 K8,Mahindra,2016,1172000.0,20000,Diesel
329,Renault Scala RxL,Renault,2015,1098750.0,25000,Diesel
330,Mahindra Quanto C8,Mahindra,2013,1098750.0,20000,Diesel
331,Hyundai Grand i10,Hyundai,2014,1069450.0,20000,Petrol
332,Hyundai i20 Active,Hyundai,2015,1465000.0,18000,Petrol
333,Mahindra Xylo E4,Mahindra,2012,1172000.0,35000,Diesel
334,Hyundai Grand i10,Hyundai,2017,1538247.07,6821,Petrol
335,Hyundai i20,Hyundai,2014,1318497.07,23000,Petrol
336,Hyundai Eon,Hyundai,2014,512747.07,14000,Petrol
337,Hyundai i10,Hyundai,2012,717847.0700000001,38000,Petrol
338,Hyundai i20 Active,Hyundai,2015,1684747.07,35000,Diesel
339,Datsun Redi GO,Datsun,2017,717847.0700000001,22000,Petrol
340,Toyota Etios Liva,Toyota,2011,703197.0700000001,41000,Petrol
341,Hyundai Accent,Hyundai,2010,292997.07,45000,Petrol
342,Hyundai Verna,Hyundai,2014,1435697.07,44000,Diesel
343,Maruti Suzuki Swift,Maruti,2013,952247.0700000001,45000,Diesel
344,Toyota Fortuner,Toyota,2011,3149747.0700000003,52000,Diesel
345,Hyundai i10 Sportz,Hyundai,2012,673900.0,34000,Petrol
346,Mahindra Bolero Power,Mahindra,2018,2048070.0,1800,Diesel
347,Mahindra XUV500,Mahindra,2015,2930000.0,15000,Diesel
348,Honda City 1.5,Honda,2010,703200.0,400000,Petrol
349,Chevrolet Spark LT,Chevrolet,2009,322300.0,44000,Petrol
350,Mahindra Jeep MM,Mahindra,2019,1142700.0,60,Diesel
351,Renault Duster 110PS,Renault,2012,1467930.0,35000,Diesel
352,Mahindra XUV500,Mahindra,2016,3310900.0,72000,Diesel
353,Tata Indigo eCS,Tata,2014,732500.0,40000,Diesel
354,Mahindra Bolero SLE,Mahindra,2013,966900.0,80200,Diesel
355,Force Motors Force,Force,2015,1699400.0,3200,Diesel
356,Skoda Rapid Elegance,Skoda,2013,996200.0,48000,Diesel
357,Tata Vista Quadrajet,Tata,2011,351600.0,90000,Diesel
358,Maruti Suzuki Alto,Maruti,2015,776450.0,12000,Petrol
359,Maruti Suzuki SX4,Maruti,2012,776450.0,46000,Diesel
360,Maruti Suzuki Zen,Maruti,2003,249050.0,69900,Petrol
361,Mahindra Jeep CL550,Mahindra,2019,1110470.0,0,Diesel
362,Hyundai i10 Magna,Hyundai,2011,512750.0,45000,Petrol
363,Maruti Suzuki Alto,Maruti,2015,641670.0,5000,Petrol
364,Maruti Suzuki Swift,Maruti,2016,1025500.0,166000,Diesel
365,Honda City ZX,Honda,2008,436570.0,42000,Petrol
366,Mahindra Jeep CL550,Mahindra,2018,1128050.0,588,Diesel
367,Mahindra Jeep MM,Mahindra,2006,1245250.0,122,Diesel
368,Chevrolet Beat Diesel,Chevrolet,2017,439500.0,62000,Diesel
369,Honda City 1.5,Honda,2010,659250.0,70000,Petrol
370,Hyundai Verna 1.4,Hyundai,2014,1098750.0,36000,Petrol
371,Toyota Innova 2.5,Toyota,2012,2256100.0,0,Diesel
372,Maruti Suzuki Maruti,Maruti,1995,87900.0,55000,Petrol
373,Toyota Etios,Toyota,2011,805750.0,36000,Diesel
374,Volkswagen Polo,Volkswagen,2015,966900.0,38000,Diesel
375,Maruti Suzuki Swift,Maruti,2014,981550.0,55000,Diesel
376,Hyundai Elite i20,Hyundai,2015,1318500.0,20000,Diesel
377,Maruti Suzuki Swift,Maruti,2012,659250.0,40000,Petrol
378,Maruti Suzuki Versa,Maruti,2004,234400.0,50000,Petrol
379,Tata Indigo LX,Tata,2016,380900.0,104000,Diesel
380,Volkswagen Vento Konekt,Volkswagen,2011,717850.0,65000,Diesel
381,Mercedes Benz C,Mercedes,2002,1169070.0,41000,Petrol
382,Maruti Suzuki Ertiga,Maruti,2013,1318500.0,90000,Diesel
383,Honda City,Honda,2000,190450.0,80000,Petrol
384,Hyundai Santro Xing,Hyundai,2006,219750.0,46000,Petrol
385,Maruti Suzuki Omni,Maruti,2001,205100.0,70000,Petrol
386,Hyundai Sonata Transform,Hyundai,2017,556700.0,36469,Diesel
387,Hyundai Elite i20,Hyundai,2018,1758000.0,7800,Petrol
388,Volkswagen Vento Konekt,Volkswagen,2011,717850.0,65000,Diesel
389,Maruti Suzuki Alto,Maruti,2017,703200.0,60000,Petrol
390,Maruti Suzuki Alto,Maruti,2011,454150.0,32000,Petrol
391,Honda Jazz S,Honda,2009,498097.07,24695,Petrol
392,Hyundai Grand i10,Hyundai,2017,1318500.0,15141,Petrol
